Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,Calculated_LogP,Aromatic_Proportion,measured log solubility in mols per litre,ESOL_Predicted_LogS,Solubility_Status
3-Octanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,408.498,1,3,10,75.71,4.343200000000004,0.4,-6.523,-4.744903600000002,Poor👎
Nitroethane,CCN(=O)=O,1,75.067,0,0,1,43.14,0.2829999999999999,0.0,-0.22,-0.41770539999999984,Acceptable👍
Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,1,333.266,0,1,6,89.52,3.924200000000004,0.2608695652173913,-6.124,-4.175538678260872,Poor👎
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,1,215.894,0,1,0,0.0,4.3002,0.6,-4.57,-4.3316688,Poor👎
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,1,218.253,2,0,6,104.64,0.9834000000000004,0.0,-1.807,-1.4167106,Acceptable👍
pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,1,316.485,1,4,1,37.3,4.515300000000004,0.0,-4.65,-4.580846000000003,Poor👎
Iodomethane,CI,1,141.939,0,0,0,0.0,1.0512,0.0,-1.0,-1.3822777999999998,Acceptable👍
cycloheximide,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,1,281.352,2,2,3,83.47,1.0415,0.0,-1.13,-2.0425274,Acceptable👍
3-Heptanoyloxymethylphenytoin,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,394.471,1,3,9,75.71,3.9531000000000023,0.4137931034482758,-6.301,-4.488380096551724,Poor👎
isophorone,CC1=CC(=O)CC(C)(C)C1,1,138.21,0,1,0,17.07,2.3218000000000005,0.0,-1.06,-2.1596360000000008,Acceptable👍
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,1,212.249,2,1,3,75.27,0.7948999999999993,0.0,-2.39,-1.4587307999999994,Acceptable👍
5-Nonanone,CCCCC(=O)CCCC,1,142.242,0,0,6,17.07,2.935900000000001,0.0,-2.58,-2.175517400000001,Acceptable👍
Glutethimide,CCC1(CCC(=O)NC1=O)c2ccccc2,1,217.268,1,2,2,46.17,1.771,0.375,-2.337,-2.4482915999999997,Acceptable👍
3-Methylpentane,CCC(C)CC,1,86.178,0,0,2,0.0,2.442500000000001,0.0,-3.68,-1.7810786000000003,Acceptable👍
Etofenprox,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,1,376.496,0,3,9,27.69,6.372000000000007,0.6428571428571429,-8.6,-6.0703494857142895,Poor👎
Methaqualone,Cc1ccccc1n3c(C)nc2ccccc2c3=O,1,250.301,0,3,1,34.89,3.002540000000001,0.8421052631578947,-2.925,-3.840624294736843,Acceptable👍
Chloroacetonitrile,ClCC#N,1,75.498,0,0,0,23.79,0.74878,0.0,-0.092,-0.779819,Acceptable👍
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1,333.604,0,1,5,18.46,5.391500000000002,0.3529411764705882,-5.752,-5.236166270588236,Poor👎
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,1,312.453,1,4,0,37.3,3.8826000000000023,0.0,-5.66,-4.223246600000001,Poor👎
Pyridazine,c1ccnnc1,2,80.09,0,1,0,25.78,0.4765999999999999,1.0,1.1,-1.3768159999999998,Acceptable👍
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,1,215.894,0,1,0,0.0,4.3002,0.6,-4.63,-4.3316688,Poor👎
Diosgenin,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,1,414.63,1,6,0,38.69,5.508800000000006,0.0,-7.32,-5.881250000000003,Poor👎
o-Aminophenol,Nc1ccccc1O,1,109.128,2,1,0,46.25,0.9744,0.75,-0.72,-1.6854656,Acceptable👍
Ethyl nonanoate,CCCCCCCCC(=O)OCC,1,186.295,0,0,8,26.3,3.3001000000000023,0.0,-3.8,-2.546092000000001,Acceptable👍
metalaxyl,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,1,279.336,0,1,5,55.84,1.84434,0.3,-1.601,-2.6258174000000003,Acceptable👍
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,1,209.245,1,1,3,47.56,2.192,0.4,-2.05,-2.616279,Acceptable👍
2-Chlorobutane,CCC(C)Cl,1,92.569,0,0,1,0.0,2.0237,0.0,-1.96,-1.6228587999999997,Acceptable👍
2-Napthol,Oc1ccc2ccccc2c1,1,144.173,1,2,0,20.23,2.5454,0.9090909090909092,-2.28,-3.010201872727273,Acceptable👍
Oxadiazon,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,1,345.226,0,2,3,57.26,4.217000000000003,0.5,-5.696,-4.809111200000001,Poor👎
1-Hexyne,CCCCC#C,1,82.146,0,0,2,0.0,1.8098,0.0,-2.36,-1.3574791999999998,Acceptable👍
1-Nonyne,CCCCCCCC#C,1,124.227,0,0,5,0.0,2.980100000000002,0.0,-4.24,-2.157670400000001,Acceptable👍
2-Chlorotoluene,Cc1ccccc1Cl,1,126.586,0,1,0,0.0,2.6484200000000007,0.75,-3.52,-2.8483378000000004,Acceptable👍
Diisopropyl ether,CC(C)OC(C)C,1,102.177,0,0,2,9.23,1.8198,0.0,-1.1,-1.4879713999999997,Acceptable👍
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1,248.307,2,2,2,86.18,1.6838000000000002,0.7058823529411765,-3.094,-2.8306503411764705,Acceptable👍
Methyl hydrazine,CNN,1,46.073,2,0,0,38.05,-0.9205,0.0,1.34,0.4542624,Acceptable👍
Propyne,CC#C,1,40.065,0,0,0,0.0,0.6395,0.0,-0.41,-0.49128799999999995,Acceptable👍
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,1,298.304,0,1,7,63.84,3.2283800000000014,0.3157894736842105,-4.862,-3.495048410526316,Acceptable👍
Propetamphos,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,1,281.314,1,0,7,56.79,2.3388,0.0,-3.408,-2.5955907999999996,Acceptable👍
Acrolein,C=CC=O,1,56.064,0,0,1,17.07,0.3712999999999999,0.0,0.57,-0.3555157999999999,Acceptable👍
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,1,136.114,2,2,0,74.43,-0.3538,0.9,-2.296,-1.1270128,Acceptable👍
6-hydroxyquinoline,Oc2ccc1ncccc1c2,1,145.161,1,2,0,33.12,1.9404,0.9090909090909092,-2.16,-2.6351774727272725,Acceptable👍
Fluorobenzene,Fc1ccccc1,1,96.104,0,1,0,0.0,1.8257,0.8571428571428571,-1.8,-2.2203215142857142,Acceptable👍
1-Chloropropane,CCCCl,1,78.542,0,0,1,0.0,1.6352,0.0,-1.47,-1.2911363999999999,Acceptable👍
Ethyl acetate,CCOC(=O)C,1,88.106,0,0,1,26.3,0.5694,0.0,-0.04,-0.6789792000000001,Acceptable👍
"2,2-Dimethylpentane",CCCC(C)(C)C,1,100.205,0,0,1,0.0,2.832600000000001,0.0,-4.36,-2.179809000000001,Acceptable👍
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,1,148.249,0,1,0,0.0,3.2287000000000017,0.5454545454545454,-4.0,-3.1968611636363646,Acceptable👍
eucalyptol,CC12CCC(CC1)C(C)(C)O2,1,154.253,0,3,0,9.23,2.7441000000000013,0.0,-1.64,-2.525151600000001,Acceptable👍
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1,314.466,0,0,15,52.6,4.7938000000000045,0.0,-3.896,-3.8197832000000025,Acceptable👍
"4,4'-PCB",Clc1ccc(cc1)c2ccc(Cl)cc2,1,223.102,0,2,1,0.0,4.660400000000002,0.8571428571428571,-6.56,-4.727570114285715,Poor👎
"2,3-Dimethylpyridine",Cc1cccnc1C,1,107.156,0,1,0,12.89,1.69844,0.75,0.38,-2.1293844,Acceptable👍
Carvone,CC(=C)C1CC=C(C)C(=O)C1,1,150.221,0,1,1,17.07,2.4879000000000007,0.0,-2.06,-2.272747200000001,Acceptable👍
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1,342.875,0,1,8,18.46,5.420300000000004,0.3333333333333333,-5.736,-5.09928066666667,Poor👎
"Etoposide (148-167,25mg/ml)",COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1,588.562,3,7,5,160.83,1.338599999999999,0.2857142857142857,-3.571,-4.213830971428571,Poor👎
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,2,252.316,0,5,0,0.0,5.737200000000003,1.0,-8.804,-5.7587952000000024,Poor👎
"2,4-Dinitrotoluene",Cc1ccc(cc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,1.8114200000000005,0.4615384615384615,-2.82,-2.3199700615384615,Acceptable👍
2-bromonaphthalene,c1c(Br)ccc2ccccc12,1,207.07,0,2,0,0.0,3.6023000000000014,0.9090909090909092,-4.4,-4.066010272727273,Poor👎
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,1,221.26,1,1,3,53.93,1.6262,0.375,-2.34,-2.3158179999999997,Acceptable👍
6-methoxypteridine,COc2cnc1ncncc1n2,1,162.152,0,2,1,60.79,0.4283999999999998,0.8333333333333334,-1.139,-1.6659010666666665,Acceptable👍
nevirapine,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,1,266.304,1,4,1,58.12,2.6512200000000004,0.6,-3.19,-3.5393534000000004,Acceptable👍
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,1,313.747,0,1,7,58.4,3.1887000000000016,0.2777777777777778,-3.658,-3.537667955555557,Acceptable👍
"2-Methyl-1,3-Butadiene ",CC(=C)C=C,1,68.119,0,0,1,0.0,1.7485,0.0,-2.03,-1.2978927999999998,Acceptable👍
linalool,CC(C)=CCCC(O)(C)C=C,1,154.253,1,0,4,20.23,2.6698000000000013,0.0,-1.99,-2.214342600000001,Acceptable👍
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,278.335,0,1,5,27.69,3.6130200000000015,0.375,-4.57,-3.7893796,Acceptable👍
Cyclohexanol,OC1CCCCC1,1,100.161,1,1,0,20.23,1.3114,0.0,-0.44,-1.2871801999999999,Acceptable👍
5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,1,182.179,2,1,2,75.27,-0.0652000000000003,0.0,-1.16,-0.7964337999999996,Acceptable👍
Epiandrosterone,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,1,290.447,1,4,0,37.3,3.959100000000003,0.0,-4.16,-4.1350044000000015,Poor👎
mannitol,OCC(O)C(O)C(O)C(O)CO,1,182.172,6,0,5,121.38,-3.5854000000000004,0.0,0.06,1.6193356000000005,Acceptable👍
4-Methylbiphenyl,Cc1ccc(cc1)c2ccccc2,1,168.239,0,2,1,0.0,3.662020000000002,0.9230769230769232,-4.62,-3.807231323076924,Acceptable👍
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,1,215.688,2,1,4,62.73,1.7770999999999997,0.4285714285714285,-3.85,-2.349981457142857,Acceptable👍
Phenylthiourea,NC(=S)Nc1ccccc1,1,152.222,2,1,1,38.05,1.3421,0.6,-1.77,-2.0072994,Acceptable👍
4-Heptanone,CCCC(=O)CCC,1,114.188,0,0,4,17.07,2.1557000000000004,0.0,-1.3,-1.6420566000000003,Acceptable👍
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,1,100.161,0,0,0,17.07,1.6215,0.0,-0.72,-1.4825431999999998,Acceptable👍
4-Chlorophenol,Oc1ccc(Cl)cc1,1,128.558,1,1,0,20.23,2.0456,0.75,-0.7,-2.4807876,Acceptable👍
Cyclohexanone,O=C1CCCCC1,1,98.145,0,1,0,17.07,1.5196,0.0,-0.6,-1.405847,Acceptable👍
m-Methylaniline,Cc1cccc(N)c1,1,107.156,1,1,0,26.02,1.5772199999999998,0.75,-0.85,-2.0530158,Acceptable👍
Trichloroacetonitrile,ClC(Cl)(Cl)C#N,1,144.388,0,0,0,23.79,1.88018,0.0,-2.168,-1.9197190000000002,Acceptable👍
norflurazon,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,1,303.671,1,2,2,46.92,2.946400000000001,0.6,-4.046,-3.8909922000000003,Acceptable👍
2-Decanone,CCCCCCCCC(=O)C,1,156.269,0,0,7,17.07,3.3260000000000023,0.0,-3.3,-2.442247800000001,Acceptable👍
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,1,243.742,1,1,5,53.94,2.1915,0.375,-3.785,-2.6793454,Acceptable👍
Benzocaine,CCOC(=O)c1ccc(N)cc1,1,165.192,1,1,2,52.32,1.4455,0.5,-2.616,-2.0128554,Acceptable👍
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,1,181.449,0,1,0,0.0,3.6468000000000007,0.6666666666666666,-3.59,-3.7558011333333337,Acceptable👍
Triazolam,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,1,343.217,0,4,1,43.07,4.233520000000003,0.7391304347826086,-4.09,-5.1160195217391315,Poor👎
"1,2-Benzenediol",Oc1ccccc1O,1,110.112,2,1,0,40.46,1.0978,0.75,0.62,-1.7693084,Acceptable👍
Reverse Transcriptase inhibitor 1,CCN2c1ncccc1N(C)C(=O)c3cccnc23,1,254.293,0,3,1,49.33,2.2246,0.631578947368421,-2.62,-3.219483021052632,Acceptable👍
Dimethyl sulfide,CSC,1,62.137,0,0,0,0.0,0.9792,0.0,-0.45,-0.8421453999999999,Acceptable👍
2-Bromotoluene,Cc1ccccc1Br,1,171.037,0,1,0,0.0,2.7575200000000013,0.75,-2.23,-3.192667000000001,Acceptable👍
O-Ethyl carbamate,CCOC(=O)N,1,89.094,1,0,1,52.32,0.1016000000000001,0.0,0.85,-0.3903908,Acceptable👍
megestrol acetate,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,1,384.516,0,4,2,60.44,4.575300000000004,0.0,-5.35,-4.9744382000000025,Poor👎
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,1,116.204,1,0,2,20.23,1.6593,0.0,-1.22,-1.4738238,Acceptable👍
Napthalene,c1ccc2ccccc2c1,2,128.174,0,2,0,0.0,2.839800000000001,1.0,-3.6,-3.163752800000001,Acceptable👍
N-Ethylaniline,CCNc1ccccc1,1,121.183,1,1,2,12.03,2.1184,0.6666666666666666,-1.7,-2.287259933333333,Acceptable👍
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1,252.273,2,3,2,58.2,1.7695999999999998,0.631578947368421,-4.097,-2.854309021052631,Acceptable👍
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c3ccc4ccccc4c13,1,256.348,0,4,0,0.0,5.763040000000005,0.9,-7.02,-5.726072800000003,Poor👎
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1,393.854,0,2,8,55.84,3.878200000000003,0.2608695652173913,-6.34,-4.390204278260872,Poor👎
Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,1,345.653,0,2,4,18.46,5.205900000000002,0.5714285714285714,-6.89,-5.421622742857144,Poor👎
TEFLUBENZURON,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,1,381.112,2,2,2,58.2,4.511700000000001,0.5,-7.28,-5.283265400000001,Poor👎
3-Pentanoyloxymethylphenytoin,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,366.417,1,3,7,75.71,3.172900000000002,0.4444444444444444,-4.678,-3.977601288888889,Acceptable👍
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,1,198.653,1,1,1,32.34,2.4335000000000004,0.4615384615384615,-2.89,-2.880292061538462,Acceptable👍
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,1,301.296,1,3,4,50.94,2.492400000000001,0.7727272727272727,-3.37,-3.5860653818181825,Acceptable👍
triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,1,478.513,2,4,4,127.2,1.7620999999999996,0.0,-4.13,-3.6529035999999993,Acceptable👍
1-Bromobutane,CCCCBr,1,137.02,0,0,2,0.0,2.1814,0.0,-2.37,-1.931806,Acceptable👍
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,1,393.698,0,1,0,0.0,4.7366,0.6,-6.98,-5.708985599999999,Poor👎
4-Methyl-2-pentanone,CC(C)CC(=O)C,1,100.161,0,0,2,17.07,1.6215,0.0,-0.74,-1.3505431999999997,Acceptable👍
cycloate,CCSC(=O)N(CC)C1CCCCC1,1,215.362,0,1,3,20.31,3.5141000000000027,0.0,-3.4,-3.1911274000000014,Acceptable👍
4-Chloroanisole,COc1ccc(Cl)cc1,1,142.585,0,1,1,9.23,2.3486,0.6666666666666666,-2.78,-2.630978333333333,Acceptable👍
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,505.206,0,3,6,59.32,6.490180000000005,0.4285714285714285,-8.402,-6.9822334571428595,Poor👎
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1,224.26,2,1,4,75.27,0.961,0.0,-2.016,-1.571842,Acceptable👍
Fenitrothion,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,1,277.238,0,1,5,70.83,2.7993200000000007,0.3529411764705882,-4.04,-3.2536236705882353,Acceptable👍
1-Iodonapthalene,Ic1cccc2ccccc12,1,254.07,0,2,0,0.0,3.4444000000000017,0.9090909090909092,-4.55,-4.257933272727273,Poor👎
Sorbitol,OCC(O)C(O)C(O)C(O)CO,1,182.172,6,0,5,121.38,-3.5854000000000004,0.0,1.09,1.6193356000000005,Acceptable👍
Ethanethiol,CCS,1,62.137,1,0,0,0.0,0.9361,0.0,-0.6,-0.8149924,Acceptable👍
"1,1,2-Trichloroethane",ClCC(Cl)Cl,1,133.405,0,0,1,0.0,2.0289,0.0,-1.48,-1.879318,Acceptable👍
Pyrolan,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,1,245.282,0,2,2,47.36,2.2411200000000004,0.6111111111111112,-2.09,-3.0928762222222224,Acceptable👍
o-Hydroxybenzamide,NC(=O)c1ccccc1O,1,137.138,2,1,1,63.32,0.4911,0.6,-1.82,-1.3776486,Acceptable👍
o-Nitrotoluene,Cc1ccccc1N(=O)=O,1,137.138,0,1,1,43.14,1.90322,0.6,-2.33,-2.2672842,Acceptable👍
"5,5-Diisopropylbarbital",O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,1,212.249,2,1,2,75.27,0.6507999999999994,0.0,-2.766,-1.4339477999999994,Acceptable👍
2-Ethyltoluene,CCc1ccccc1C,1,120.195,0,1,1,0.0,2.5574200000000005,0.6666666666666666,-3.21,-2.6237169333333337,Acceptable👍
1-Chloroheptane,CCCCCCCCl,1,134.65,0,0,5,0.0,3.1956000000000016,0.0,-4.0,-2.358058000000001,Acceptable👍
Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,1,184.195,2,1,2,75.27,0.1587999999999993,0.0,-2.4,-0.9500529999999995,Acceptable👍
Bibenzyl,C(Cc1ccccc1)c2ccccc2,2,182.266,0,2,3,0.0,3.4718000000000018,0.8571428571428571,-4.62,-3.5935689142857155,Acceptable👍
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,1,167.85,0,0,1,0.0,2.5938,0.0,-1.74,-2.448764,Acceptable👍
RTI 23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,1,283.331,1,3,2,54.46,3.122320000000001,0.5714285714285714,-5.153,-3.8545709428571433,Acceptable👍
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,1,192.261,0,3,0,0.0,4.301420000000003,0.9333333333333332,-5.84,-4.4325794666666685,Poor👎
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1,278.348,0,1,8,52.6,3.600400000000003,0.3,-4.4,-3.528009600000002,Acceptable👍
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,261.919,1,1,1,29.46,4.014400000000001,0.4615384615384615,-4.02,-4.268508261538462,Poor👎
Dimecron,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1,299.691,0,0,8,65.07,2.3950000000000005,0.0,0.523,-2.6789342,Acceptable👍
Equilin,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,1,268.356,1,4,0,37.3,3.7375000000000025,0.3,-5.282,-4.0804322000000015,Poor👎
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,1,414.827,1,2,8,127.79,1.1715999999999998,0.4444444444444444,-4.576,-2.9509242888888885,Acceptable👍
p-Nitroanisole,COc1ccc(cc1)N(=O)=O,1,153.137,0,1,2,52.37,1.6033999999999995,0.5454545454545454,-2.41,-2.0712277636363634,Acceptable👍
1-Chlorohexane,CCCCCCCl,1,120.623,0,0,4,0.0,2.805500000000001,0.0,-3.12,-2.0913276000000005,Acceptable👍
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,1,429.772,0,2,1,0.0,8.580799999999998,0.6,-9.16,-8.288490399999999,Poor👎
Raffinose,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1,504.438,11,3,8,268.68,-7.571399999999989,0.0,-0.41,2.330466399999994,Acceptable👍
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,1,366.718,0,0,23,0.0,10.388599999999991,0.0,-8.334,-7.140469599999995,Poor👎
RTI 5,CCN2c1ccccc1N(C)C(=O)c3cccnc23,1,253.305,0,3,1,36.44,2.829600000000001,0.631578947368421,-3.324,-3.5945074210526324,Acceptable👍
"1,1-Dichloroethane",CC(Cl)Cl,1,98.96,0,0,0,0.0,1.81,0.0,-1.29,-1.593852,Acceptable👍
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,1,172.209,2,1,1,86.18,-0.0837999999999999,0.5454545454545454,-1.34,-1.1925381636363637,Acceptable👍
Isopropalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,1,309.366,0,1,8,89.52,4.252800000000004,0.2727272727272727,-6.49,-4.111151381818184,Poor👎
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,290.832,0,1,0,0.0,3.644400000000001,0.0,-4.64,-3.9391304000000007,Acceptable👍
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,345.401,1,1,8,56.79,3.8896000000000033,0.2727272727272727,-4.194,-4.105752381818184,Poor👎
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,1,181.449,0,1,0,0.0,3.6468000000000007,0.6666666666666666,-4.0,-3.7558011333333337,Acceptable👍
Tetrachloromethane,ClC(Cl)(Cl)Cl,1,153.823,0,0,0,0.0,2.5529,0.0,-2.31,-2.4020296,Acceptable👍
"3,4-Dichloronitrobenzene",O=N(=O)c1cc(Cl)c(Cl)cc1,1,192.001,0,1,1,43.14,2.901600000000001,0.5454545454545454,-3.2,-3.1960505636363647,Acceptable👍
Cyclooctanol,OC1CCCCCCC1,1,128.215,1,1,0,20.23,2.0916,0.0,-1.29,-1.9526410000000003,Acceptable👍
17a-Methyltestosterone,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,302.458,1,4,0,37.3,4.269300000000004,0.0,-3.999,-4.404898600000003,Poor👎
Dulcin,CCOc1ccc(NC(N)=O)cc1,1,180.207,2,1,3,64.35,1.5759,0.4615384615384615,-2.17,-2.0936388615384613,Acceptable👍
"trans-1,4-Dimethylcyclohexane",C/C1CCC(\C)CC1,1,112.216,0,1,0,0.0,2.832600000000001,0.0,-4.47,-2.3202772000000005,Acceptable👍
"1,7-phenantroline",c1cnc2c(c1)ccc3ncccc23,2,180.21,0,3,0,25.78,2.7830000000000004,1.0,-2.68,-3.4505920000000003,Acceptable👍
Methyl t-butyl ether,COC(C)(C)C,1,88.15,0,0,0,9.23,1.4313,0.0,-0.24,-1.288249,Acceptable👍
Anethole,COc1ccc(C=CC)cc1,1,148.205,0,1,2,9.23,2.728300000000001,0.5454545454545454,-3.13,-2.749336363636364,Acceptable👍
1-Hexadecanol,CCCCCCCCCCCCCCCCO,1,242.447,1,0,14,20.23,5.460000000000006,0.0,-7.0,-3.8589714000000037,Acceptable👍
uracil,O=c1cc[nH]c(=O)[nH]1,1,112.088,2,1,0,65.72,-0.9368,0.75,-1.488,-0.4997615999999999,Acceptable👍
adenine,Nc1ncnc2nc[nH]c12,1,135.13,2,2,0,80.48,-0.0648999999999999,0.9,-2.12,-1.3029190000000002,Acceptable👍
"2,2',3,4,5-PCB",Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,1,326.437,0,2,1,0.0,6.620600000000001,0.7058823529411765,-7.21,-6.491240341176471,Poor👎
Ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,1,256.305,1,3,4,55.24,2.1311,0.631578947368421,-2.596,-2.9750524210526317,Acceptable👍
Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,2,252.316,0,5,0,0.0,5.640400000000003,1.0,-8.23,-5.697811200000002,Poor👎
Carbanilide,O=C(Nc1ccccc1)Nc2ccccc2,1,212.252,2,2,2,41.13,3.3306000000000013,0.75,-3.15,-3.6772404000000014,Acceptable👍
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,1,232.239,2,2,2,75.27,0.7003999999999997,0.3529411764705882,-2.322,-1.8503102705882353,Acceptable👍
"2',3,4-PCB",Clc1ccc(cc1)c2cccc(Cl)c2Cl,1,257.547,0,2,1,0.0,5.313800000000001,0.8,-6.29,-5.310485400000001,Poor👎
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,1,206.289,1,1,2,32.34,2.903500000000001,0.4,-3.536,-3.1121968000000004,Acceptable👍
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,1,259.762,0,1,5,46.09,2.0905,0.375,-1.716,-2.7150393999999998,Acceptable👍
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,1,102.177,1,0,2,20.23,1.4149,0.0,-1.04,-1.2328844,Acceptable👍
Ethyl pentanoate,CCCOC(=O)CCC,1,130.187,0,0,4,26.3,1.7397,0.0,-1.75,-1.4791704,Acceptable👍
"2,4,6-Trinitrotoluene",Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1,227.132,0,1,3,129.42,1.7196200000000006,0.375,-3.22,-2.4110790000000004,Acceptable👍
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,1,397.524,1,1,10,64.63,3.7726000000000015,0.2608695652173913,-4.2,-4.21443027826087,Poor👎
